name,price,det,link
Mano Twin Organizer 11 T-Org-11 Component Box,495.00 EGP,Size: 280x190x100 mm,/shop/mano-twin-org11-mano-twin-organizer-11-t-org-11-component-box-9228?page=3
YYB-5 Motor Controller Board for Forward/Reverse Operation of 12V/24V Motors,750.00 EGP,With Dual Relay Delay Timing Cycle Module,/shop/kit-yyb5-motor-control-yyb-5-motor-controller-board-for-forward-reverse-operation-of-12v-24v-motors-9217?page=3
DIY Acrylic Robot Arm 4DOF Manipulator Mechanical Arm Kit,295.00 EGP,Unassembled Without Servo Motors (Requires 4 SG90S Servo Motors),/shop/ro-arm-diy-acrylic-without-diy-acrylic-robot-arm-4dof-manipulator-mechanical-arm-kit-9204?page=3
Enclosure For Raspberry Pi 5 - ABS Red/White Case (SKU#BOX5CO),225.00 EGP,,/shop/rpi5-box-color-enclosure-for-raspberry-pi-5-abs-red-white-case-sku-box5co-9203?page=3
Enclosure For Raspberry Pi 5 Stripe Metal Aluminum Case,375.00 EGP,,/shop/rpi5-box-aluminum-enclosure-for-raspberry-pi-5-stripe-metal-aluminum-case-9202?page=3
Car Cigarette Lighter Male Plug Cable Connection,75.00 EGP,With Free Ends,/shop/wire-car-male-endless-car-cigarette-lighter-male-plug-cable-connection-9200?page=3
Battery Clip 9V to Crocodile Alligator Clip 15cm Long,20.00 EGP,Battery Snap,/shop/bt9-crocodile-15cm-battery-clip-9v-to-crocodile-alligator-clip-15cm-long-9199?page=3
TDS Meter Analog Sensor V1.0 - Total Dissolved Solids Sensor Meter,950.00 EGP,For Water Quality Testing,/shop/kit-tds-meter-tds-meter-analog-sensor-v1-0-total-dissolved-solids-sensor-meter-9194?page=3
PH02 Digital LCD PH Meter Pen,300.00 EGP,"PH Tester & Meter
Tester Range 0.00-14.00",/shop/ph02-ph-meter-ph02-digital-lcd-ph-meter-pen-9193?page=3
3M™ 9448A Double Sided Adhesive PE Foam Pad Tape,5.00 EGP,Double Coated Tissue Tape - Thickness 1mm,/shop/3m-tm-9448a-double-sided-adhesive-pe-foam-pad-tape-9187?page=3
Heatsink Cooling Set for Raspberry Pi 5B Board - White,75.00 EGP,5 Pieces Adhesive,/shop/hs-p5-white-heatsink-cooling-set-for-raspberry-pi-5b-board-white-9184?page=3
Heatsink Cooling Set for Raspberry Pi 5B Board - Gold (Aluminum & Copper),145.00 EGP,5 Pieces Adhesive,/shop/hs-p5-gold-heatsink-cooling-set-for-raspberry-pi-5b-board-gold-aluminum-copper-9183?page=3
Raspberry Pi 5 Complete Active Cooler Set,450.00 EGP,"Designed for Raspberry Pi 5
Pi5 Active Cooler C",/shop/hs-p5-active-set-raspberry-pi-5-complete-active-cooler-set-9182?page=3
MDD5.5-250 Insulated 6.3mm Male Blade Electrical Crimp Terminal Connector,2.50 EGP,AWG12-10 4.0-6.0mm2,/shop/mdd5-5-250-insulated-6-3mm-male-blade-electrical-crimp-terminal-connector-9173?page=3
LCD HDMI 10 inch 1024x600 Touch Screen With Audio Speakers,"5,500.00 EGP","10"" LCD For Raspberry Pi, PC, or any HDMI output device
Capacitive Touchscreen
10.1inch HDMI Display-H",/shop/lcd-hdmi-10-audio-1024-lcd-hdmi-10-inch-1024x600-touch-screen-with-audio-speakers-9166?page=3
"7 Segment (4x1) 0.36"" Common Cathode",18.00 EGP,3461AS-1 RED,/shop/7seg0-36x4-cathode-7-segment-4x1-0-36-common-cathode-9162?page=3
"7 Segment (2x1) 0.56"" Common Cathode",15.00 EGP,5621AS-1 RED,/shop/7seg0-56x2-cathode-7-segment-2x1-0-56-common-cathode-9161?page=3
XD10-3 AC220V RED Small LED Signal Indicator Light 10mm,7.00 EGP,Pilot Signal Light Lamp,/shop/xd10-3-220vac-red-xd10-3-ac220v-red-small-led-signal-indicator-light-10mm-9156?page=3
XD10-3 DC12V Green Small LED Signal Indicator Light 10mm,7.00 EGP,Pilot Signal Light Lamp,/shop/xd10-3-12vdc-green-xd10-3-dc12v-green-small-led-signal-indicator-light-10mm-9155?page=3
XD10-3 DC12V RED Small LED Signal Indicator Light 10mm,7.00 EGP,Pilot Signal Light Lamp,/shop/xd10-3-12vdc-red-xd10-3-dc12v-red-small-led-signal-indicator-light-10mm-9154?page=4
Plastic Hex Spacer 12mm F/F - Standoff Spacer,1.75 EGP,Nylon Hexagonal Pillar M3*12mm,/shop/spacer-plastic-12ff-plastic-hex-spacer-12mm-f-f-standoff-spacer-9149?page=4
TIP Copper CU60W - General 60W Soldering Irons Replacement Tip نحاس,90.00 EGP,يجب قصدرة السن قبل الاستخدام,/shop/tip-cu60w-copper-tip-copper-cu60w-general-60w-soldering-irons-replacement-tip-nhs-9142?page=4
TIP Copper CU40W - General 40W Soldering Irons Replacement Tip نحاس,80.00 EGP,يجب قصدرة السن قبل الاستخدام,/shop/tip-cu40w-copper-tip-copper-cu40w-general-40w-soldering-irons-replacement-tip-nhs-9141?page=4
2040 Aluminum Profile Accessory - Plastic Ends Cap Cover 20x40mm,6.00 EGP,,/shop/sy2040-cap-2040-aluminum-profile-accessory-plastic-ends-cap-cover-20x40mm-9137?page=4
2020 Aluminum Profile Accessory - Plastic Ends Cap Cover 20x20mm,5.00 EGP,,/shop/sy2020-cap-2020-aluminum-profile-accessory-plastic-ends-cap-cover-20x20mm-9136?page=4
Aluminum Blue Small Coupling Size L25xD14mm - Inner Diameters 5x8mm,25.00 EGP,,/shop/w5x8-d14-l25-aluminum-blue-small-coupling-size-l25xd14mm-inner-diameters-5x8mm-9134?page=4
UTL-90 Multimeter Leads Test Probe With Extra-Fine Tip  UNI-T CAT II 1000V/10A,350.00 EGP,,/shop/prob-avo-utl90-utl-90-multimeter-leads-test-probe-with-extra-fine-tip-uni-t-cat-ii-1000v-10a-9099?page=4
"U206 0-60V, 0-5A, 300W, 1CH, Digital Control and Switching Mode DC Power Supply With 2 USB Quick Charging Ports","3,950.00 EGP","DC Adjustable Switching Mode Power Supply
KORAD® Brand",/shop/ps-u206-korad-u206-0-60v-0-5a-300w-1ch-digital-control-and-switching-mode-dc-power-supply-with-2-usb-quick-charging-ports-9089?page=4
"U203 0-30V, 0-10A, 300W, 1CH, Digital Control and Switching Mode DC Power Supply With 2 USB Quick Charging Ports","3,750.00 EGP","DC Adjustable Switching Mode Power Supply
KORAD® Brand
Similar to UTP1310",/shop/ps-u203-korad-u203-0-30v-0-10a-300w-1ch-digital-control-and-switching-mode-dc-power-supply-with-2-usb-quick-charging-ports-9088?page=4
"U202 0-30V, 0-5A, 150W, 1CH, Digital Control and Switching Mode DC Power Supply With 2 USB Quick Charging Ports","2,750.00 EGP","DC Adjustable Switching Mode Power Supply
KORAD® Brand
Similar to UTP1306",/shop/ps-u202-korad-u202-0-30v-0-5a-150w-1ch-digital-control-and-switching-mode-dc-power-supply-with-2-usb-quick-charging-ports-9087?page=4
"KWR102 Programmable Wide-Range DC Power Supply, 0~30V, 0~30A, 300W","12,000.00 EGP","DC Adjustable Switching Mode Power Supply
USB, RS232 & LAN PC Interface
KORAD® Brand",/shop/ps-kwr102-korad-kwr102-programmable-wide-range-dc-power-supply-0-30v-0-30a-300w-9086?page=4
